title,FileName,singer,lyrics,composer,
Mama Ma Gana,Mama-Ma-Gana.flac,Niranjala Sarojini,Lucien Bulathsinhala,Premasiri Khemadasa,
Sirikatha Nanwa,Sirikatha_Nanwa_Niranjala_Sarojini.flac,Niranjala Sarojini,Lucien Bulathsinhala,Premasiri Khemadasa,
Ra Hande,,Niranjala Sarojini / W.D.Amaradewa,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Doovillen Sadunu,Duwillen_Saduna_Liye__Pradeepa_Darmadasa.flac,Pradeepa Darmadasa,Jayantha Chandrasiri,Premasiri Khemadasa,
Doovili Doovili,,Pradeepa Dharmadasa,Jayantha Chandrasiri,Master Premasiri Khemadasa,
Hankithi Hurathal,,Priyankara Perera,Dharmasiri Gamage,Master Premasiri Khemadasa,
Kathuru Muwath,Kathuru-Muwath.flac,Priyankara Perera,Thalangama Premadasa,Premasiri Khemadasa,
Loke Jeevathwannata,,Rajiv Sebastian,Dharmasiri Gamage,Master Premasiri Khemadasa,
Suwandak Danevi,Suwandak_Danevi_Rajiv_Sebastian.flac,Rajiv Sebastian,Dharmasiri Gamage,Premasiri Khemadasa,
Bondavee,Bonda-Wee-Roscoe-Williams.flac,Rosco Wiliyams,W Jayasiri,Premasiri Khemadasa,
Agni Dahaya,Agnidahaya-Song--Samantha-Perera--Deshaka-Sampath.flac,Samantha Perera,Jayantha Chandrasiri,Premasiri Khemadasa,
Suwandai Mal,Samantha_Perera_Shashika_Nisansala_Suwadai_Mal.flac,Samantha Perera,Jackson Anthody,Premasiri Khemadasa,
Kohedo Eathaka,Kohedo_Athaka_Sita__Samitha_Mudunkotuwa.flac,Samitha Mudunkotuwa,Ven. Rambukkana Siddhartha,Premasiri Khemadasa,
Seetha Ra Yame,,Sanath Nandasiri,Sunil Ariyaratne,Master Premasiri Khemadasa,
Bathaka Iwarai,Batha_Ka_Iwarai_Sudda_Pannamu_Sunil_Edirisinghe.flac,Sunil Edirisinghe,Parakrama Kodithuwakku,Premasiri Khemadasa,
Hemin Sare Piya Wida (Film - Hansa Wilak),Hemin-Sere-Piyaa-Sunila-Abeysekera-Tm-Jayaratne-(Film-Hansa-Vilak).flac,T.M. Jayaratne & Sunila Abeysekera,Premakeerthi De Alwis,Premasiri Khemadasa,
Kadira surindune,,,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Kalpana lowa ,,Abeywardana Balasooriya,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Kanyaawee (Film - Siri Medura),Kanyavi-Amarasiri-Peiris-(Film-Siri-Medura).flac,Amarasiri Peiris,Lucien Bulathsinhala,Premasiri Khemadasa,
Araaroo (Film - Wasannaththil Oru Wanwil),Araro--Premasiri-Khemadasa.flac,Premasiri Khemadasa,Kalpanadaasan,Premasiri Khemadasa,
Maala Gira,,,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Maala Giraa Film - Wasanthaye Dawasak ),,T.M. Jayaratne,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Mage lowata oba ,,,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Manamaalayi Manahaari,,H.R. Jothipala,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Me Ayurin Api ,,T. M. Jayaratne,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Minis Wanathare,,Amarasiri Pieris,Lucien Bulathsinhala,Master Premasiri Khemadasa,
Minisa(Kanyawee),,Amarasiri Pieris,Lucien Bulathsinhala,Master Premasiri Khemadasa,
Nadu Nathi Rataka,,Pradeepa Dharmadasa /Samantha Perera,Lucien Bulathsinhala,Master Premasiri Khemadasa,
Napuru Kumaraya,,Indrachapa Bulathsinghala,Lucien Bulathsinhala,Master Premasiri Khemadasa,
Noselei Divi (Film - Makulu Esa) ,Amarasiri_Peries_Nosalei_Divi_Makulu_Asa.flac,Amarasiri Peiris,Lucien Bulathsinhala,Premasiri Khemadasa,
Oba Soya Ennam,,H.R. Jothipala,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Paaloswaka sanda ,,,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Pethi Parawa Giya,,H.R. Jothipala,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Podi None,,H.R. Jothipala,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Premaye Dadayamkarayaneni,,,Lucien Bulathsinhala,Master Premasiri Khemadasa,
Raja Wedakaarayo (Film - Duleeka),Raja-Wedakaarayo-Original-Hr-Jothipala.flac,H. R. Jothipala,Sunil Ariyaratne,Premasiri Khemadasa,
Rena Gira Joduwai (Film - Rena Giraw),Rana-Gira-Joduwai-Nanda-Malini.flac,W.D.Amaradeva & Nanda Malini,Dharmasiri Gamage,Premasiri Khemadasa,
Sadhu Nadhii,,H.R. Jothipala,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Sansaara Gamane (Film - Senasuma Kothanada),Sansara-Gamane-Wd-Amaradeva-(Sanasuma-Kotenada-1966).flac,W.D.Amaradeva,Dharmasiri Gamage,Premasiri Khemadasa,
Udumbara (Film - Bambaru Awith),Udumbara-Premasiri-Khemadasa-Ft-Tm-Jayarathna-Ivo-Dennis-Sunila-Abeysekara-1978.flac,T.M.Jayarathna,W Jayasiri,Premasiri Khemadasa,
Duleeka,Adara-Mal-Pawane-Latha-Walpola-(Film-Duleeka).flac,Latha Walpola,Dharmasiri Gamage,Premasiri Khemadasa,
Seetha Mosam,HR-Jothipala-Seetha-Mosam-Geetha-Naden-Original-Song.flac,H.R Jothipala,Dharmasiri Gamage,Premasiri Khemadasa,
Amathaka Wenne Na,,T.M.Jayarathne,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Ambare Dili Dili,Ambare_Dili_Dili__T_M_Jayarathna.flac,T.M.Jayarathne,Sri Nihal Jayasinghe,Premasiri Khemadasa,
Awuwata Wassata,Awuwata_Wassata_Huru_Minisunne_T_M_Jayarathna.flac,T.M.Jayarathne,Ven. Rambukkana Siddhartha,Premasiri Khemadasa,
Diyabe Yana Ayiyandi,Diyambe-Yana-Ayiyandi-Tm-Jayaratne.flac,T.M.Jayarathne,Ven. Rambukkana Siddhartha,Premasiri Khemadasa,
Hiru Res Doorak,,T.M.Jayarathne,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Jeevithe Ama,Jeewithe_Amadara_T_M_Jayarathna.flac,T.M.Jayarathne,Gamini Wijethunga,Premasiri Khemadasa,
Ko Ma Pathu,Ko-Ma-Pathu-Obe-Adare-Tm-Jayarathne.flac,T.M.Jayarathne,Ranjith Weerasinghe,Premasiri Khemadasa,
La Hiru Payala,La-Hiru-Payala-Tm-Jayarathne-Malani-Bulathsinhala.flac,T.M.Jayarathne,Kularatne Ariyawansa,Premasiri Khemadasa,
Ma Sarisarannam,,T.M.Jayarathne,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Mage Asarana,,T.M.Jayarathne,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Mala Gira,,T.M.Jayarathne,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Mala Hathak Banda,,T.M.Jayarathne,Dharmarathna Perera,Master Premasiri Khemadasa,
Nawathane Ambalame,Nawathene-Ambalame-Tm-Jayaratne.flac,T.M.Jayarathne,Devinda Disanayake,Premasiri Khemadasa,
Pavi Pavi Me Enne,Pawee-Pawee-Me-Enne-Tm-Jayarathne.flac,T.M.Jayarathne,Maithri Panagoda,Premasiri Khemadasa,
Pawanata Salena,Pawanata-Salena-T.M.-Jayarathne.flac,T.M.Jayarathne,Darmasiri Bandaranayake,Premasiri Khemadasa,
Samiyeku Senehasa,,T.M.Jayarathne,Ven. Rambukkana Siddhartha,Master Premasiri Khemadasa,
Sanasum Susuman,Sanasum_Susuman_Pavila_T_M_Jayarathna.flac,T.M.Jayarathne,Ranjith Weerasinghe,Premasiri Khemadasa,
Sathgiri Kulu,Bambaro-Sath-Giri-Kulu-T-M-Jayaratne.flac,T.M.Jayarathne,A P Sheela,Premasiri Khemadasa,
Sewane Kubuk ,Sewane_Kumbuk_Sewane_T_M_Jayarathna.flac,T.M.Jayarathne,Sri Nihal Jayasinghe,Premasiri Khemadasa,
Usmiti Than,,T.M.Jayarathne,Ven. Pallegama Hemarathana,Master Premasiri Khemadasa,
A Rankanda,E_Ran_Kanda_Pem_Handa_M_S_Fernando.flac,Volter Fernando,Geroge Lesley Ranasinghe,Premasiri Khemadasa,
Rosa,Walter-Fernando-Rosa-Polla-Genen.flac,Volter Fernando,Dharmasiri Gamage,Premasiri Khemadasa,
Daru Duka Uhula,Daru-Duka-Uhula-Pooja-Wewa-Wd-Amaradeva.flac,W.D.Amaradewa,Dharmasiri Gamage,Premasiri Khemadasa,
Prema Sandawo,,W.D.Amaradewa,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Rathu Rosa Kusuma,,W.D.Amaradewa,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Sansara Gamane,Sansara-Gamane-Thanha-Asha-W.D.-Amaradewa.flac,W.D.Amaradewa,Dharmasiri Gamage,Premasiri Khemadasa,
Wikasitha Pem,,W.D.Amaradewa,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Mala Pabalu Wal,Mala-Pabalu-Wel-Karawata-Lannata-With-Nanda-Malani.flac,W.D.Amaradewa / Nanda Malini,Kingsly Disanayake,Premasiri Khemadasa,
Dayalu Deshaya,,W.D.Ariyasinghe,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Me Gee Eda,Me_Gee_Eda_Age_Handin_W.D.Ariyasinghe.flac,W.D.Ariyasinghe,Ajantha Ranasinghe,Premasiri Khemadasa,
Pemwathune,,W.D.Ariyasinghe,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Adara Mal Pawane,Adara-Mal-Pawane-Duleeka-HR-Jothipala-Live.flac,,,,F:\Cey Music FTP 3\Ceymusic Artist's SR Registrations\Premasiri Khemadasa SR\Premasiri Khemadasa Processed 2nd
Adara Mal Pawane,Adara-Mal-Pawane-From-Duleeka-H-R-Jothipala-1974.flac,,,,
Eran Kanda,Eran-kanda-Pem-Handa-M-SFernando-and-Latha-Walpola.flac,,,,
Me Gee Eda,Me-gii-eda-age-handin-WD.Amaradewa.flac,,,,
Rosa,MS-Fernando-HR-Jothipala-Rosa-Film-Lasanda.flac,,,,
Eran Kanda,Rankadha-Pem-Khadha-M-S-Fernando-Latha-Walpola-Film-Nadaayo.flac,,,,
