ISRC,Payee 01,Payee 01 Share,Payee 02,Payee 02 Share,Payee 03,Payee 03 Share
LKA0W2270016,Namal Udugama,100,,,,
ATR981211545,Rohana Weerasinghe,100,,,,
ATR981211546,Rohana Weerasinghe,100,,,,
LKA0W2270017,Namal Udugama,100,,,,
ATR981211548,Rohana Weerasinghe,100,,,,
LKA0W2270020,Namal Udugama,100,,,,
ATR981211550,Rohana Weerasinghe,100,,,,
LKA0W2270021,Namal Udugama,100,,,,
LKA0W2270022,Namal Udugama,100,,,,
LKA0W2270023,Namal Udugama,100,,,,
LKA0W2270024,Namal Udugama,100,,,,
ATR981211555,Rohana Weerasinghe,100,,,,
LKA0W2270028,Namal Udugama,100,,,,
LKA0W2270029,Namal Udugama,100,,,,
ATR981211558,Rohana Weerasinghe,100,,,,
ATR981211614,Rohana Weerasinghe,100,,,,
LKA0W2270030,Namal Udugama,100,,,,
LKA0W2270031,Namal Udugama,100,,,,
LKA0W2270032,Namal Udugama,100,,,,
LKA0W2270033,Namal Udugama,100,,,,
LKA0W2270034,Namal Udugama,100,,,,
ATR981211620,Rohana Weerasinghe,100,,,,
ATR981211621,Rohana Weerasinghe,100,,,,
ATR981211622,Rohana Weerasinghe,100,,,,
LKA0W2270035,Namal Udugama,100,,,,
LKA0W2270036,Namal Udugama,100,,,,
ATR981211625,Rohana Weerasinghe,100,,,,
ATR981211626,Rohana Weerasinghe,100,,,,
LKA0W2270038,Namal Udugama,100,,,,
ATR981211628,Rohana Weerasinghe,100,,,,
LKA0W2270039,Namal Udugama,100,,,,
LKA0W2270040,Namal Udugama,100,,,,
LKA0W2270041,Namal Udugama,100,,,,
LKA0W2270042,Namal Udugama,100,,,,
LKA0W2270045,Namal Udugama,100,,,,
LKA0W2270046,Namal Udugama,100,,,,
LKA0W2270047,Namal Udugama,100,,,,
LKA0W2270048,Namal Udugama,100,,,,
ATR981211637,Rohana Weerasinghe,100,,,,
LKA0W2270049,Namal Udugama,100,,,,
ATR981211710,Rohana Weerasinghe,100,,,,
LKA0W2270050,Namal Udugama,100,,,,
LKA0W2270054,Namal Udugama,100,,,,
ATR981211713,Rohana Weerasinghe,100,,,,
ATR981211714,Rohana Weerasinghe,100,,,,
ATR981211715,Rohana Weerasinghe,100,,,,
LKA0W2270055,Namal Udugama,100,,,,
LKA0W2270059,Namal Udugama,100,,,,
LKA0W2270060,Namal Udugama,100,,,,
ATR981211719,Rohana Weerasinghe,100,,,,
LKA0W2270063,Namal Udugama,100,,,,
ATR981211721,Rohana Weerasinghe,100,,,,
ATR981211722,Rohana Weerasinghe,100,,,,
LKA0W2270064,Namal Udugama,100,,,,
LKA0W2270070,Namal Udugama,100,,,,
ATR981211725,Rohana Weerasinghe,100,,,,
ATR981211726,Rohana Weerasinghe,100,,,,
LKA0W2270074,Namal Udugama,100,,,,
LKA0W2270075,Namal Udugama,100,,,,
LKA0W2270081,Namal Udugama,100,,,,
ATR981211730,Rohana Weerasinghe,100,,,,
LKA0W2270084,Namal Udugama,100,,,,
LKA0W2270086,Namal Udugama,100,,,,
ATR981211733,Rohana Weerasinghe,100,,,,
ATR981211734,Rohana Weerasinghe,100,,,,
ATR981211758,Rohana Weerasinghe,100,,,,
LKA0W2270087,Namal Udugama,100,,,,
LKA0W2270089,Namal Udugama,100,,,,
LKA0W2270090,Namal Udugama,100,,,,
LKA0W2270091,Namal Udugama,100,,,,
ATR981211819,Rohana Weerasinghe,100,,,,
ATR981211820,Rohana Weerasinghe,100,,,,
LKA0W2270092,Namal Udugama,100,,,,
ATR981211822,Rohana Weerasinghe,100,,,,
ATR981211823,Rohana Weerasinghe,100,,,,
